46	202301	1824
46	202302	1716
46	202303	1637
45	202301	214
45	202302	234
45	202303	221
44	202301	54515
44	202302	55292
44	202303	24786
43	202301	1164
43	202302	1053
43	202303	852
42	202301	509
42	202302	482
42	202303	423
41	202301	624
41	202302	582
41	202303	427
39	202301	7108
39	202302	6434
39	202303	4783
10	202301	30531
10	202302	27626
10	202303	18818
38	202301	13133
38	202302	12803
38	202303	10019
12	202301	29721
12	202302	30248
12	202303	22831
11	202301	87748
11	202302	77075
11	202303	53997
7	202301	45594
7	202302	38891
7	202303	29548
6	202301	3384
6	202302	1651
6	202303	2017
28	202301	21883
28	202302	20176
28	202303	13779
27	202301	1541
27	202302	5437
27	202303	6047
68	202301	308
68	202302	281
68	202303	254
67	202301	1835
67	202302	1706
67	202303	507
1	202301	33751
1	202302	30182
1	202303	16185
2	202301	23472
2	202302	21773
2	202303	10155
36	202301	13965
36	202302	13316
36	202303	9351
69	202301	435
69	202302	402
69	202303	343
70	202301	68
70	202302	83
70	202303	111
29	202301	24451
29	202302	24160
29	202303	13673
35	202301	800
35	202302	590
35	202303	284
5	202301	31403
5	202302	29453
5	202303	20194
34	202301	130
34	202302	179
34	202303	127
33	202301	451
33	202302	433
33	202303	362
56	202301	1601
56	202302	1977
56	202303	1464
31	202301	369087
31	202302	344304
31	202303	263190
32	202301	88403
32	202302	81737
32	202303	64718
19	202301	107935
19	202302	98762
19	202303	73289
25	202301	711
25	202302	838
25	202303	751
61	202301	657
61	202302	633
61	202303	613
60	202301	10332
60	202302	9261
60	202303	7409
23	202301	49795
23	202302	48906
23	202303	33529
59	202301	625
59	202302	634
59	202303	611
24	202301	61525
24	202302	55004
24	202303	35485
49	202302	3855
49	202303	3677
49	202301	3809
15	202302	16703
15	202303	13199
15	202301	16947
48	202301	2691
48	202302	2814
48	202303	2444
47	202301	11545
47	202302	10594
47	202303	6591
26	202301	45846
26	202302	42492
26	202303	32929
66	202301	19346
66	202302	18847
66	202303	13382
65	202301	631
65	202302	651
65	202303	625
64	202301	3550
64	202302	3351
64	202303	2599
63	202301	493
63	202302	466
63	202303	359
62	202301	5650
62	202302	4722
62	202303	4197
13	202301	25830
13	202303	16504
13	202302	19214
14	202301	15588
14	202303	8929
14	202302	12652
55	202301	265
55	202302	191
55	202303	218
54	202301	14245
54	202303	11211
54	202302	13338
0	202302	44936
0	202303	41036
0	202301	50562
53	202301	337
53	202303	293
53	202302	330
18	202302	39563
18	202303	23748
18	202301	42228
52	202302	642
52	202301	636
52	202303	628
8	202301	21207
8	202302	19904
8	202303	12825
37	202301	2829
37	202302	2757
37	202303	2618
9	202301	20501
9	202303	12222
9	202302	18258
51	202302	147
51	202301	164
51	202303	146
50	202301	464
50	202302	446
50	202303	380
17	202302	17572
17	202301	18871
17	202303	11136
3	202301	112685
3	202302	97846
3	202303	79705
16	202301	71342
16	202302	65480
16	202303	38171
4	202301	23794
4	202302	22540
4	202303	17855
57	202301	342
57	202302	350
57	202303	290
21	202301	54366
21	202302	47700
21	202303	26300
22	202301	70387
22	202302	65527
22	202303	44770
58	202301	265
58	202302	256
58	202303	221
